Word (Visual),StrengthMean,ALL,1820,1830,1840,1850,1860,1870,1880,1890,1900,1910,1920,1930,1940,1950,1960,1970,1980,1990,2000,2010
bright,5.000,124.050,129.200,166.510,181.560,202.770,152.570,144.500,144.360,136.680,92.190,80.680,78.440,87.700,94.710,88.310,76.090,78.010,74.870,93.270,93.960,93.650
purple,5.000,27.720,12.600,19.180,31.760,33.440,28.100,26.290,21.030,28.390,30.850,21.470,20.970,22.230,19.120,17.650,20.360,19.460,17.790,25.640,28.200,27.470
spotless,5.000,3.610,6.300,5.980,7.780,5.560,5.250,5.640,4.140,4.550,2.550,3.250,2.260,2.170,1.970,2.300,1.720,1.530,2.080,1.870,2.470,2.200
ugly,5.000,31.860,11.460,11.820,18.600,16.750,22.440,25.280,25.120,22.470,26.710,27.700,27.550,23.890,27.120,29.940,32.000,29.550,31.150,36.950,34.690,26.180
chubby,4.952,2.870,1.150,0.880,1.010,1.870,1.480,2.180,2.140,1.570,1.320,2.080,1.710,1.620,2.190,2.130,2.060,2.910,3.010,2.870,5.400,4.230
green,4.952,163.270,73.620,132.450,179.480,149.250,126.710,110.600,109.730,117.590,121.940,141.410,126.890,136.890,143.140,129.090,119.770,119.980,121.470,163.710,195.140,176.150
handsome,4.952,54.800,40.820,50.180,58.960,71.180,67.370,80.740,80.230,61.240,61.750,40.560,40.230,37.530,43.470,45.740,39.520,36.110,36.280,30.620,39.260,30.070
pale,4.952,76.690,110.870,97.730,141.900,129.960,100.320,112.680,95.830,81.900,73.670,57.090,48.440,51.390,50.690,44.170,43.020,40.030,42.480,51.070,51.350,48.600
shiny,4.952,11.410,0.430,0.360,0.890,0.850,1.950,2.020,2.540,1.470,12.190,5.280,8.020,9.490,10.400,10.540,10.440,12.000,11.990,18.340,20.820,18.250
short,4.952,218.860,260.410,244.540,223.510,212.630,207.540,205.390,198.280,204.140,207.310,198.930,202.330,186.260,179.310,167.370,164.720,165.040,156.780,162.330,170.240,172.910
sunny,4.952,20.890,8.880,23.920,25.050,29.450,26.980,22.780,19.780,18.990,16.700,16.580,33.460,12.490,13.280,10.820,9.850,12.140,15.110,13.090,17.690,21.150
steep,4.952,20.380,22.490,18.520,25.940,26.060,21.080,20.650,17.840,22.130,23.070,15.450,16.380,15.120,14.960,13.780,12.500,12.730,15.210,16.980,19.330,14.580
small,4.952,443.220,271.580,322.800,370.970,356.190,291.680,328.340,340.800,352.920,360.460,361.340,384.080,410.210,412.890,398.060,391.650,382.040,382.630,412.010,418.100,394.410
huge,4.950,80.150,25.640,45.510,61.110,41.490,42.040,42.690,38.020,45.140,50.730,55.920,60.540,71.460,68.910,66.710,66.480,71.520,88.400,101.810,104.250,96.550
khaki,4.950,3.410,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.050,2.090,5.890,5.530,3.900,5.110,4.570,2.990,3.260,3.380,3.890,4.590,2.960
gorgeous,4.905,14.520,7.310,18.450,24.480,19.780,13.880,14.580,11.110,10.670,11.190,9.130,17.310,9.920,4.420,6.350,6.490,8.500,9.920,13.330,19.070,16.780
dazzling,4.905,9.070,11.030,14.510,15.370,11.130,8.270,11.760,9.420,9.300,8.460,7.490,6.340,4.550,5.220,6.730,5.700,6.170,9.750,6.430,6.490,4.880
skinny,4.905,9.170,0.570,1.240,1.010,1.630,1.540,1.220,0.600,0.730,2.050,3.200,3.580,6.790,9.640,7.500,10.130,9.890,9.310,16.020,18.490,18.640
patterned,4.905,2.140,0.000,0.360,0.060,0.240,0.300,0.370,0.450,0.540,0.460,1.040,1.670,2.420,2.370,3.070,2.230,2.710,3.080,3.290,2.610,2.590
straight,4.905,116.790,25.210,37.270,38.340,45.360,54.910,66.690,74.000,86.550,120.940,118.340,120.780,104.160,114.750,110.780,110.430,112.490,108.400,117.290,124.810,118.240
tall,4.905,85.130,31.510,54.770,81.550,67.850,62.060,62.590,70.010,76.520,73.350,68.260,68.250,73.340,77.450,71.560,71.490,71.350,70.210,72.460,95.770,78.440
yellow,4.900,79.430,22.350,33.480,69.780,72.330,43.280,49.070,53.420,63.790,80.810,70.120,80.270,85.680,73.870,70.200,67.030,59.870,58.860,82.630,79.750,67.890
colossal,4.875,5.600,3.290,4.590,7.020,6.350,7.320,6.440,6.780,5.340,6.780,6.710,6.890,7.290,6.310,3.940,2.580,3.640,2.340,1.990,2.610,2.790
broken,4.857,116.760,147.960,126.980,130.130,123.130,117.020,120.820,119.400,123.510,115.850,110.760,112.220,91.890,95.770,84.610,83.030,79.330,77.950,79.130,84.060,86.930
